trade_date,market,code,name,buy,sell,net,market_cap,net_to_cap_%
20260730,KOSPI,383220,F&F,974387900,335131050,639256850,3053073877500,0.0209
20260730,KOSPI,475150,SK이터닉스,763350075,148520525,614829550,1493838125400,0.0412
20260730,KOSPI,007340,DN오토모티브,666672525,83183850,583488675,2141497659000,0.0272
20260730,KOSPI,006040,동원산업,537638025,30086050,507551975,1547135705950,0.0328
20260730,KOSPI,005180,빙그레,504890950,1289700,503601250,625659592500,0.0805
20260730,KOSPI,103140,풍산,600066400,100068800,499997600,1701073674600,0.0294
20260730,KOSPI,439260,대한조선,492910200,3479275,489430925,1849207841500,0.0265
20260730,KOSPI,004430,송원산업,487500925,0,487500925,283680000000,0.1718
20260730,KOSPI,009450,경동나비엔,476242100,1733800,474508300,900338985600,0.0527
20260730,KOSPI,030530,원익홀딩스,431773745,0,431773745,1061249858940,0.0407
20260730,KOSPI,285130,SK케미칼,441208000,29451200,411756800,682436318700,0.0603
20260730,KOSPI,252990,샘씨엔에스,516159435,107820600,408338835,568456872160,0.0718
20260730,KOSPI,005440,현대지에프홀딩스,630218880,233183910,397034970,2063218488750,0.0192
20260730,KOSPI,175330,JB금융지주,746349550,351719925,394629625,5054741430400,0.0078
20260730,KOSPI,016380,KG스틸,382792126,1004355,381787771,523046531310,0.0730
20260730,KOSPI,131970,두산테스나,564060900,194859200,369201700,1006949099800,0.0367
20260730,KOSPI,375500,DL이앤씨,1871249900,1510640450,360609450,2101063728900,0.0172
20260730,KOSPI,397030,에이프릴바이오,358242250,0,358242250,466169275660,0.0768
20260730,KOSPI,003670,포스코퓨처엠,7811514850,7476284500,335230350,11714217174000,0.0029
20260730,KOSPI,014820,동원시스템즈,343387375,9317300,334070075,582724768200,0.0573
20260730,KOSPI,020000,한섬,499240230,172145400,327094830,415365063960,0.0787
20260730,KOSPI,005387,현대차2우B,961094050,644999000,316095050,6258543470000,0.0051
20260730,KOSPI,139130,iM금융지주,508636300,195325185,313311115,2620914402400,0.0120
20260730,KOSPI,319400,현대무벡스,311692100,118250,311573850,2238658383900,0.0139
20260730,KOSPI,003490,대한항공,5345102450,5040776625,304325825,9113461359750,0.0033
20260730,KOSPI,005090,SGC에너지,302991600,1110650,301880950,531704387700,0.0568
20260730,KOSPI,084370,유진테크,343527600,50297000,293230600,2032652925400,0.0144
20260730,KOSPI,064960,SNT모티브,292900650,1330700,291569950,684739017600,0.0426
20260730,KOSPI,028670,팬오션,542119560,251266040,290853520,2704921730720,0.0108
20260730,KOSPI,085620,미래에셋생명,286692935,3814805,282878130,1929018600000,0.0147
20260730,KOSPI,036460,한국가스공사,385145300,103098700,282046600,3180182850000,0.0089
20260730,KOSPI,003690,코리안리,493947130,227061190,266885940,2421078124700,0.0110
20260730,KOSPI,083650,비에이치아이,266744250,0,266744250,1107808625000,0.0241
20260730,KOSPI,280360,롯데웰푸드,684206300,423816900,260389400,971082557000,0.0268
20260730,KOSPI,052400,코나아이,253975300,0,253975300,528647463300,0.0480
20260730,KOSPI,181710,NHN,271718350,20867450,250850900,1129983295500,0.0222
20260730,KOSPI,357780,솔브레인,247122750,1821000,245301750,1781291614000,0.0138
20260730,KOSPI,009970,영원무역홀딩스,344337700,107879150,236458550,2642578668000,0.0089
20260730,KOSPI,124500,아이티센글로벌,233319520,0,233319520,438333515030,0.0532
20260730,KOSPI,097950,CJ제일제당,1107926200,885948850,221977350,2864811595800,0.0077
20260730,KOSPI,029780,삼성카드,358223850,140554875,217668975,5497504377950,0.0040
20260730,KOSPI,253450,스튜디오드래곤,204598520,542840,204055680,637240157600,0.0320
20260730,KOSPI,000080,하이트진로,238144715,39516460,198628255,1088473642720,0.0182
20260730,KOSPI,462870,시프트업,201246275,3594200,197652075,1829809873500,0.0108
20260730,KOSPI,104830,원익머트리얼즈,194217900,0,194217900,341676800000,0.0568
20260730,KOSPI,001720,신영증권,249042850,61645800,187397050,2183232000000,0.0086
20260730,KOSPI,376300,디어유,185166240,445920,184720320,461237228580,0.0400
20260730,KOSPI,034830,한국토지신탁,184271077,0,184271077,278243131460,0.0662
20260730,KOSPI,079160,CJ CGV,184600977,1584321,183016656,882554778300,0.0207
20260730,KOSPI,214320,이노션,263769060,83425950,180343110,760000000000,0.0237
20260730,KOSPI,377300,카카오페이,1138683500,962347575,176335925,5451386037500,0.0032
20260730,KOSPI,267250,HD현대,3606707050,3436038400,170668650,15956603170000,0.0011
20260730,KOSPI,009240,한샘,191280500,24974625,166305875,920176584800,0.0181
20260730,KOSPI,092790,넥스틸,163177520,0,163177520,273021000000,0.0598
20260730,KOSPI,260970,에스앤디,190678775,29791550,160887225,139286105100,0.1155
20260730,KOSPI,032640,LG유플러스,491507460,335934270,155573190,6430080139800,0.0024
20260730,KOSPI,018670,SK가스,367505000,211975500,155529500,2092137144000,0.0074
20260730,KOSPI,000070,삼양홀딩스,153530500,893500,152637000,437067653300,0.0349
20260730,KOSPI,005300,롯데칠성,179101650,28393700,150707950,954797163600,0.0158
20260730,KOSPI,139480,이마트,484417000,335846950,148570050,2160752627700,0.0069
20260730,KOSPI,195870,해성디에스,248147650,102742050,145405600,652800000000,0.0223
20260730,KOSPI,030190,NICE평가정보,143242180,1681500,141560680,855395372040,0.0165
20260730,KOSPI,100250,진양홀딩스,141430788,0,141430788,182115000000,0.0777
20260730,KOSPI,001230,동국홀딩스,134894054,517690,134376364,259697884050,0.0517
20260730,KOSPI,017810,풀무원,134256510,679230,133577280,332411126240,0.0402
20260730,KOSPI,090360,로보스타,131975000,0,131975000,507000000000,0.0260
20260730,KOSPI,123330,제닉,127780875,0,127780875,203599774000,0.0628
20260730,KOSPI,000240,한국앤컴퍼니,256084775,131409875,124674900,2368634238000,0.0053
20260730,KOSPI,437730,삼현,121317400,0,121317400,1036837440900,0.0117
20260730,KOSPI,127120,제이에스링크,580720600,464782075,115938525,1013042895700,0.0114
20260730,KOSPI,069620,대웅제약,161547900,47791900,113756000,1457591135000,0.0078
20260730,KOSPI,214420,토니모리,105817333,0,105817333,111614267360,0.0948
20260730,KOSPI,053800,안랩,103441400,518000,102923400,590817468600,0.0174
20260730,KOSPI,016580,환인제약,102832650,0,102832650,185814699300,0.0553
20260730,KOSPI,078520,에이블씨엔씨,98204110,0,98204110,255459061020,0.0384
20260730,KOSPI,028300,HLB,97132200,0,97132200,4009266512300,0.0024
20260730,KOSPI,294870,IPARK현대산업개발,255155390,158354160,96801230,1293101814600,0.0075
20260730,KOSPI,200880,서연이화,94631710,0,94631710,267311241930,0.0354
20260730,KOSPI,237880,클리오,91517080,0,91517080,188845638850,0.0485
20260730,KOSPI,034220,LG디스플레이,1246067435,1156940140,89127295,4335000000000,0.0021
20260730,KOSPI,006340,대원전선,91249410,2164795,89084615,834329386240,0.0107
20260730,KOSPI,450080,에코프로머티,1392242400,1304826450,87415950,2106712632500,0.0041
20260730,KOSPI,215200,메가스터디교육,85406300,520150,84886150,425492116800,0.0200
20260730,KOSPI,290740,액트로,82579860,0,82579860,62805668640,0.1315
20260730,KOSPI,039830,오로라,81339510,0,81339510,234092857500,0.0347
20260730,KOSPI,241560,두산밥캣,326796500,247399500,79397000,5521309344000,0.0014
20260730,KOSPI,023160,태광,79265020,0,79265020,549678892500,0.0144
20260730,KOSPI,092730,네오팜,79169510,0,79169510,300364513860,0.0264
20260730,KOSPI,453340,현대그린푸드,202595710,124528940,78066770,597152484930,0.0131
20260730,KOSPI,060980,HL홀딩스,77095000,652900,76442100,330923973150,0.0231
20260730,KOSPI,200130,콜마비앤에이치,75662420,0,75662420,245325753720,0.0308
20260730,KOSPI,178320,서진시스템,78110800,2854150,75256650,1788585709700,0.0042
20260730,KOSPI,030610,교보증권,72616260,0,72616260,1018828871340,0.0071
20260730,KOSPI,140860,파크시스템스,74504000,2042500,72461500,1603565401000,0.0045
20260730,KOSPI,073240,금호타이어,134935150,62958130,71977020,1758032956440,0.0041
20260730,KOSPI,460860,동국제강,71709940,839165,70870775,436054469430,0.0163
20260730,KOSPI,008490,서흥,65674550,458990,65215560,233696082600,0.0279
20260730,KOSPI,003380,하림지주,63777000,0,63777000,1017011038680,0.0063
20260730,KOSPI,003030,세아제강지주,145719500,83087500,62632000,435702316400,0.0144
20260730,KOSPI,440110,파두,58345350,0,58345350,2444949637600,0.0024
20260730,KOSPI,014710,사조씨푸드,55005220,0,55005220,176490065750,0.0312
20260730,KOSPI,005960,동부건설,51683420,260640,51422780,136073711590,0.0378
20260730,KOSPI,024720,콜마홀딩스,48455570,0,48455570,300092266250,0.0161
20260730,KOSPI,194370,제이에스코퍼레이션,48544070,713590,47830480,346750258100,0.0138
20260730,KOSPI,457190,이수스페셜티케미컬,349529950,302432300,47097650,1458060574000,0.0032
20260730,KOSPI,026960,동서,113767950,67022950,46745000,2602170000000,0.0018
20260730,KOSPI,081660,미스토홀딩스,429448500,382821325,46627175,2389132800000,0.0020
20260730,KOSPI,101490,에스앤에스텍,44525400,1082100,43443300,747787508950,0.0058
20260730,KOSPI,298050,HS효성첨단소재,66990950,23726600,43264350,662136314400,0.0065
20260730,KOSPI,002810,삼영무역,42554000,0,42554000,425663151400,0.0100
20260730,KOSPI,361610,SK아이이테크놀로지,81806960,39291310,42515650,1065685913000,0.0040
20260730,KOSPI,123890,한국자산신탁,41212540,0,41212540,274117594240,0.0150
20260730,KOSPI,018880,한온시스템,305890305,265757905,40132400,3371272483320,0.0012
20260730,KOSPI,137310,에스디바이오센서,57793070,17989270,39803800,758304360560,0.0052
20260730,KOSPI,489790,한화비전,57651150,21254200,36396950,1716605260000,0.0021
20260730,KOSPI,084690,대상홀딩스,35917230,0,35917230,264351527400,0.0136
20260730,KOSPI,058470,리노공업,434836300,400622400,34213900,4252621230000,0.0008
20260730,KOSPI,100090,SK오션플랜트,34969840,1505960,33463880,747863204130,0.0045
20260730,KOSPI,145020,휴젤,35425500,2473500,32952000,2828429098000,0.0012
20260730,KOSPI,036200,유니셈,31468070,0,31468070,197170953890,0.0160
20260730,KOSPI,001440,대한전선,4652243225,4622884275,29358950,4115844516000,0.0007
20260730,KOSPI,264900,크라운제과,29050205,0,29050205,100065561500,0.0290
20260730,KOSPI,326030,SK바이오팜,262465350,233850950,28614400,6108433500000,0.0005
20260730,KOSPI,104700,한국철강,29143470,692290,28451180,347733000000,0.0082
20260730,KOSPI,072710,농심홀딩스,26244100,0,26244100,406734183000,0.0065
20260730,KOSPI,185750,종근당,41073100,15052600,26020500,927546816000,0.0028
20260730,KOSPI,092230,KPX홀딩스,24791800,0,24791800,353180405600,0.0070
20260730,KOSPI,008060,대덕,262588970,238644580,23944390,366059046600,0.0065
20260730,KOSPI,302440,SK바이오사이언스,90157300,66868950,23288350,2585143421350,0.0009
20260730,KOSPI,004690,삼천리,22462800,0,22462800,419255421200,0.0054
20260730,KOSPI,044820,코스맥스비티아이,22368400,0,22368400,185931910560,0.0120
20260730,KOSPI,111770,영원무역,925976400,903614950,22361450,3961445239200,0.0006
20260730,KOSPI,194700,노바렉스,52309395,30346250,21963145,239868702720,0.0092
20260730,KOSPI,007690,국도화학,22505950,658250,21847700,341724700800,0.0064
20260730,KOSPI,145990,삼양사,21368250,0,21368250,440384272300,0.0049
20260730,KOSPI,002030,아세아,23983200,3761900,20221300,434417772000,0.0047
20260730,KOSPI,267290,경동도시가스,20154920,0,20154920,119381971500,0.0169
20260730,KOSPI,033920,무학,19772430,0,19772430,209190000000,0.0095
20260730,KOSPI,317450,명인제약,19762700,0,19762700,607360000000,0.0033
20260730,KOSPI,028100,동아지질,19616500,0,19616500,222399628220,0.0088
20260730,KOSPI,403550,쏘카,19518520,0,19518520,365361641460,0.0053
20260730,KOSPI,128820,대성산업,19496220,0,19496220,177096896370,0.0110
20260730,KOSPI,108670,LX하우시스,19459300,0,19459300,296829877000,0.0066
20260730,KOSPI,268280,미원에스씨,21679300,2250300,19429000,616000000000,0.0032
20260730,KOSPI,001530,DI동일,19339400,0,19339400,481638188250,0.0040
20260730,KOSPI,058430,포스코스틸리온,19302965,0,19302965,242100000000,0.0080
20260730,KOSPI,003120,일성아이에스,19213200,0,19213200,270655000000,0.0071
20260730,KOSPI,000390,SP삼화,19208580,0,19208580,152883495780,0.0126
20260730,KOSPI,298690,에어부산,18978966,0,18978966,238181542864,0.0080
20260730,KOSPI,019170,신풍제약,18950825,0,18950825,380558469720,0.0050
20260730,KOSPI,004700,조광피혁,18945600,0,18945600,418230780200,0.0045
20260730,KOSPI,003650,미창석유,18931300,0,18931300,235899523200,0.0080
20260730,KOSPI,037270,YG PLUS,18809125,0,18809125,188761121150,0.0100
20260730,KOSPI,089590,제주항공,19466980,661698,18805282,336272907450,0.0056
20260730,KOSPI,010820,퍼스텍,18775370,0,18775370,239714075270,0.0078
20260730,KOSPI,026890,스틱인베스트먼트,18690750,0,18690750,290393569130,0.0064
20260730,KOSPI,357120,코람코라이프인프라리츠,19491025,804975,18686050,400048304940,0.0047
20260730,KOSPI,005680,삼영전자,19051860,491330,18560530,252600000000,0.0073
20260730,KOSPI,145720,덴티움,19167150,623450,18543700,317790383350,0.0058
20260730,KOSPI,002240,고려제강,19218030,870520,18347510,439830000000,0.0042
20260730,KOSPI,003850,보령,19199280,1335120,17864160,682866167720,0.0026
20260730,KOSPI,082920,비츠로셀,15324700,0,15324700,1149355741950,0.0013
20260730,KOSPI,005830,DB손해보험,1758158350,1743093600,15064750,10742057236000,0.0001
20260730,KOSPI,003960,사조대림,14587200,0,14587200,266227766350,0.0055
20260730,KOSPI,084010,대한제강,14606760,514940,14091820,262598993440,0.0054
20260730,KOSPI,244920,에이플러스에셋,33583180,19617030,13966150,256371238620,0.0054
20260730,KOSPI,227840,현대코퍼레이션홀딩스,11702990,0,11702990,110575157400,0.0106
20260730,KOSPI,009680,모토닉,9650440,425570,9224870,211897666500,0.0044
